reviewText,rating,summary,review_sentiment,summary_sentiment,hallucination,hal_score
"First, I almost always buy Levis because they fit right, look good on me and wear well!
I did not know I was getting button fly style Levis have come around to preferring the zipper!",5,Levis are always going to look good and wear well.,POSITIVE,POSITIVE,neutral,0.8436005115509033
Buy again later,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8544520139694214
Love them. This is Second pair I bought from this company & both are perfect. Was very surprised because usually have hard time getting pants that fit right. I didn't wash first pair for a long time worried would shrink to much but still fit perfect after being washed now several times. I always liked 501's but cost is prohibitive but these were cheaper than JCP & JCP Didn't have a single pair of 32/32 that I could have tried on @ the store. So I took a chance & purchased online & all worked out way better & great for Me & that's not usually the type of luck I have. So 5 stars definitely earned. Ty,5,Love them. This is Second pair I bought from ...,POSITIVE,POSITIVE,neutral,0.8512089252471924
Love them! They fit perfectly.,5,My new favorite jeans.,POSITIVE,POSITIVE,neutral,0.9908689260482788
Nice/,5,Five Stars,POSITIVE,POSITIVE,neutral,0.7233442068099976
These Levi's Jeans Look and feel and fit great.,5,Levi's Men's Big and Tall 501 Original Fit Jeans Optic White Look and feel and Fit great.,POSITIVE,POSITIVE,neutral,0.9284846186637878
just great,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8669967651367188
Great fit sized right,5,True to size,POSITIVE,POSITIVE,entailment,0.8018069267272949
My husband looks hot in these jeans.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9173746705055237
Had to be returned. Defective,2,Two Stars,NEGATIVE,POSITIVE,neutral,0.6624513268470764
Classic's that just keep getting more comfortable with wear.,5,Iconic,NEGATIVE,POSITIVE,entailment,0.5219558477401733
"I loved the quality of the Jeans, the size is perfect, I recommend it 100%",5,The most important thing is quality and good service,POSITIVE,POSITIVE,neutral,0.9817644953727722
This was a gift.  This is the only jeans he will wear.,5,Great gift,NEGATIVE,POSITIVE,neutral,0.9804257750511169
These were perfect size ! could not be happier !!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9524505138397217
Theyre the only jeans husband will wear,5,Always fit as expected,NEGATIVE,POSITIVE,neutral,0.9958051443099976
"Exactly what I expected,at a price I couldn't believe.",5,Super sale price.,POSITIVE,POSITIVE,neutral,0.7647706866264343
"It might just be my legs, but the seams around the crotch seem to wear out unreasonably quickly",4,Four Stars,NEGATIVE,POSITIVE,neutral,0.7170027494430542
nice jeans,5,Five Stars,POSITIVE,POSITIVE,neutral,0.883417010307312
Fits good,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8632193803787231
"Good product,",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9428477883338928
My husband loves Levis. Great fit,5,Great,POSITIVE,POSITIVE,neutral,0.7981816530227661
"Standard 501s.  Exactly what I wanted.  This model/style has been around for decades, so not
much new to say!",5,Not much new to say! Levis 501s are just fine,NEGATIVE,POSITIVE,neutral,0.9731324315071106
nothing wrong with them just did not realize that they were button fly instead of zipper.,3,Three Stars,NEGATIVE,POSITIVE,neutral,0.9186119437217712
I have to say that LEVIS 501S are my favorite jeans hands down!!!! Great price compared to MACYS laughing out loud,5,PRICE PRICE PRICE ,POSITIVE,POSITIVE,neutral,0.9631645083427429
The back belt loop broke out of the bottom stitching after only a few times wearing the pants.  I won't buy this product again.,1,The back belt loop broke out of the bottom stitching ...,NEGATIVE,NEGATIVE,entailment,0.9434499740600586
"I purchased 2 pairs of size 30 x 30 501's on amazon within the past few months.  The ""rinse"" fits normal while ""clean rigid"" has a much smaller waist size. This is more like a 28 sized waist or smaller. Not even close to the waist size of the other pair of 501's.",1,This is more like a 28 sized waist or smaller,NEGATIVE,NEGATIVE,neutral,0.4736246168613434
"I'm surprised these jeans fit as well as they do. I have experienced lots of ""hits and misses"" with Levi's sizing. These fit and feel good.",4,Nice fit,POSITIVE,POSITIVE,entailment,0.6511105298995972
Levi's 501.... good as always!,5,good as always,POSITIVE,POSITIVE,entailment,0.5028368830680847
"The shirt looks good. But a large is NOT a large. Ridiculously  small. Nothing good to say here. This was a bad ""deal"". Shame on Amazon with this one.",1,WAY TOO SMALL. A LARGE IS TOO SMALL FOR MY KID WHO WEARS A MEDIUM.,NEGATIVE,NEGATIVE,neutral,0.952549159526825
Bought my fifth pair. They fit so well. This is the standard for blue jeans.,5,Best jeans!,POSITIVE,POSITIVE,neutral,0.8715027570724487
Great fit !,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9375457167625427
Thanks,5,Original,POSITIVE,POSITIVE,neutral,0.8376284241676331
My husband likes them so will order again,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9726223349571228
Good fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9264466166496277
First time buying black - always buy the 501s.  Nice to have a change in color - we will see how long they last compare to the normal jeans.  More elegant (for jeans) than the normal blue.  These were offered at a decent price.,5,Great pants.,POSITIVE,POSITIVE,neutral,0.7492600083351135
Perfect!! They fit just right..,5,Levi's Men's 501 Jean,POSITIVE,POSITIVE,neutral,0.9174790382385254
reliable levis,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8726235032081604
These jeans were such a good fit!  would buy these again!,5,Great quality!,POSITIVE,POSITIVE,neutral,0.7087100148200989
We ordered 33 length and they measured 36,1,One Star,NEGATIVE,NEGATIVE,contradiction,0.5067079067230225
Way off on sizing,2,Run small,NEGATIVE,NEGATIVE,neutral,0.49492111802101135
Great,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8788294196128845
"Usually biy 29 leg and were too long , had to return",2,Two Stars,NEGATIVE,POSITIVE,neutral,0.6499272584915161
Size was off,3,Wrong size,NEGATIVE,NEGATIVE,entailment,0.8803665637969971
"Well, Levi Jeans there alright I don't like the idea that they went from denim jeans to cotton jeans they don't last long they get holds between the legs in a whole week I hope Levi's go back to denim jeans they last longer than cotton jeans, I've been buying Levi Jeans for years",3,They get holes between the legs all the time,NEGATIVE,NEGATIVE,neutral,0.9360381364822388
They came wrinkled but I iron'd it out these fit perfect!,5,... came wrinkled but I iron'd it out these fit perfect!,POSITIVE,POSITIVE,entailment,0.9851699471473694
"Bought 4 months ago... both pairs the crotch blew out. To be fair, I do physical labor in these jeans. But, 4 months? Wasted my money",1,Wasted my,NEGATIVE,NEGATIVE,neutral,0.8160442113876343
product as advertised,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9239524006843567
"Perfect fit, true to size.",5,Comfortable,POSITIVE,POSITIVE,entailment,0.5003443360328674
"will be Ordering again in the future for sure thanks for your Business,john,",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9582386612892151
Fit as expected,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9708446860313416
Five stars.,5,Five Stars,POSITIVE,POSITIVE,entailment,0.8574424386024475
"Nice jeans, they were just tighter than I expected. So I returned so I could get a more relaxed fit. Return was easy and I got my money back on an Amazon gift card that I'll use on my next order.",5,"Nice jeans, they were just tighter than I expected",POSITIVE,POSITIVE,entailment,0.7293279767036438
"My husband will only wear this brand and style of jeans. It is getting more and more difficult to find thesr in stores. Thankfully, I have found thrm here and for about $15 less a pair than in stores. I will continue to buy them here! Thank you.",4,"Men are weird, stubborn creatures.",POSITIVE,NEGATIVE,neutral,0.9907399415969849
"I don't know what is going on.  I've been buying 36"" x 36"" 501 button fly jeans for 20 years.  All of a sudden, they are an inch to big at the waste and 2"" long in length.  So I fell back and order 35x34 which are too tight.  Any thoughts, anyone?",3,"they are an inch to big at the waste and 2"" long in length",NEGATIVE,NEGATIVE,entailment,0.8463263511657715
Same great Levis!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8496859073638916
"The denim has failed (holes forming) in two spots in the crotch area. I have worn these maybe 10 times, washed maybe four times. These are not the 501s you grew up with.",1,Poor quality denim,NEGATIVE,NEGATIVE,neutral,0.8270730972290039
Levi's!,5,Great,POSITIVE,POSITIVE,neutral,0.6638319492340088
I like it,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9466342329978943
"I can not believe how perfectly these 2 pair of Levi 501 jeans fit. They are in perfect condition too. The color, texture, width, length, everything!!! This is the best purchase I have ever made online for sight unseen clothing. Thank you!!!",5,They are in perfect condition too,POSITIVE,POSITIVE,neutral,0.7513597011566162
"I didn't  realize they were button fly, and it's a SNUG fit. Maybe if I was younger and could hold my gut in all day I'd wear them. They just hang in the closet. But they arrived fast and are excellent quality. If you're in good shape and want to show off you're young butt, this are the ones.",3,But they arrived fast and are excellent quality. If you're in good shape and want ...,POSITIVE,POSITIVE,entailment,0.9081769585609436
"Some things, thank goodness don't change! Same fit and quality as it did 40 years ago!",5,Five Stars,POSITIVE,POSITIVE,neutral,0.968665361404419
Love it !!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9020199775695801
Fast Service! Done Right!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9595692157745361
"Not the same LEVI'S :( The fit is the good ol' LEVI fit, but the material is really thin!!! I noticed the thread color was a little off before I washed them & I thought let's see how they come out of the wash. Well my husband put them on for the first time and said ""If this is what LEVI'S have come to - This will be the last pair I buy"" this is someone that has been wearing LEVI'S for 30 + years. Sure hope LEVI'S will fix this problem.",3,Just not the same ol' LEVI'S :(,NEGATIVE,NEGATIVE,neutral,0.795004665851593
"Been wearing these for over 55 years.  Still the best jeans out there.  Too many color choices nowadays, but whatever.",5,"Levi Jeans,  THE ORIGINAL BUTTON UP",POSITIVE,POSITIVE,neutral,0.909187912940979
Their quality is horrible.i can't believe there were too mang line. Place pay more attention.,3,Made in Egypt is stupid,NEGATIVE,NEGATIVE,neutral,0.8212950229644775
very good,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8379331827163696
Compare with my current 510 the butt and thigh a about an inch wider.,3,Three Stars,NEGATIVE,POSITIVE,neutral,0.7769795656204224
"These r typically some of th best damned jeans u'll ever wear, and Sheppler's is one of th most dependable suppliers u'll ever deal with when getting them. Th End.",5,Levi 501 Botton flys.,POSITIVE,POSITIVE,neutral,0.9323845505714417
Fit as expected,5,Quality is in the product,POSITIVE,POSITIVE,neutral,0.8418132066726685
"Levi's 501 prewashed jeans are the best, most rugged regular jeans you can buy! Great price on Amazon too!",5,Great Value!,POSITIVE,POSITIVE,neutral,0.7771334052085876
"I decided to try this style as a change.  My mistake.  After a month of wearing them, I've found the button fly is difficult to unbutton and re-button.  Otherwise, the pants fit well and wear well.",3,"Good fit, good wear, but the button fly is too hard to button and un-button",NEGATIVE,NEGATIVE,entailment,0.9858558773994446
"I ordered these 501 jeans for my husband, their the only jeans he wear, they  arrived earlier than expected.
My husband really love the color, clean rigid and they fit him nicely. A very satisfied customer.
Thank you Amazon ",5,My husband really love the color,POSITIVE,POSITIVE,neutral,0.942463219165802
"I've ordered jeans on her before, same size waste and same size length. But these particular ones seem to be a little long in the length than my previous orders. It's highly possible that these are knock-offs do to the fact that I've bought other pairs of the same jeans and same color from chain retail stores. And the jeans purchased from the retail stores fit the way they are supposed to. But for the price it's a pretty good deal.",3,The length isn't quite right,POSITIVE,NEGATIVE,entailment,0.5957688093185425
It is the same as always and perfect for my husband.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9299147129058838
excelent,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8588744401931763
"I bought this for my hubby, these fit true to size and make his azz look hot while not being flashy.",5,Your buttocks will look better in these.,POSITIVE,NEGATIVE,contradiction,0.5126065015792847
"Did not meet my expectations, I miss better finished in the pages of the buttons.",3,I miss better finished in the pages of the buttons,NEGATIVE,NEGATIVE,entailment,0.9708719253540039
One of the pairs fits too tight in the thigh and is the exact same size as the other pair I bought.,1,One of the pairs fits too tight in the thigh ...,NEGATIVE,NEGATIVE,entailment,0.9674395322799683
"Great as usuallove these Jeans. Delivered on time, and no hassle. Price great yoo",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9394395351409912
Just as I remember!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8865522742271423
"Just what I wanted and fast delivery!
Thanks!!",5,What I wanted and at a good price!,POSITIVE,POSITIVE,neutral,0.9942629933357239
Seem to be larger that stated,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8506945371627808
The hem constantly curls.... I have to Iron the hem and starch it to get it to lay right.  This is because whoever is making these is to frickin' cheap to put enough material in them to make them correct.  cheap Chinese Levi's wanna-be.  Would I recommend them?  Probably not...... will I buy them again?  Probably..... I would pay a little more GLADLY to get a good pair....,2,Would I recommend them? Probably not,NEGATIVE,NEGATIVE,entailment,0.7368934154510498
Appear to be prewashed not at all what I was looking forward to !,1,They looked pre washed,NEGATIVE,NEGATIVE,entailment,0.9920480847358704
"These jeans lasted five months before the crotch tore out -- inferior quality, cannot recommend.",2,cannot recommend.,NEGATIVE,NEGATIVE,entailment,0.5262002944946289
Jean fit and style are great but I ordered BLACK and received blue.,4,Four Stars,POSITIVE,POSITIVE,contradiction,0.543493926525116
HAHA these are comically large.,1,One Star,POSITIVE,NEGATIVE,contradiction,0.5265005230903625
look good,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8618658781051636
"Had some stich defects, kind of annoying but not enough to hassle a return.  I will try one more pair but if they're defective I won't buy again,",3,kind of annoying but not enough to hassle a return,NEGATIVE,NEGATIVE,neutral,0.9474617838859558
I bought 2 pairs of jeans and returned them both in the same box.  Only one pair was recieved back???,1,Help,NEGATIVE,POSITIVE,neutral,0.8835601210594177
"What is going on with sizing here?  I ordered 32x34 and the jeans I received are comically short.  Haven't washed them or anything.  I've bought so many pairs of pants in this size, including from Levi's, and never seen anything like this.  I compared them to some 511s that I've had for years, and washed many times, and they're significantly shorter.

From looking at other recent reviews, Levi's has some real quality control issues.",1,high waters,NEGATIVE,POSITIVE,neutral,0.99284428358078
One of the belt loops came loose almost immediately,1,One Star,NEGATIVE,NEGATIVE,neutral,0.9867623448371887
Comfortable,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8631189465522766
The usual Levi comfort and fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.938194990158081
Love these jeans!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9458780884742737
Excellent fit very satisfied,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8842774033546448
a gift,5,Five Stars,POSITIVE,POSITIVE,neutral,0.838685154914856
Great deal,5,Same 501's better price.,POSITIVE,NEGATIVE,neutral,0.6914356350898743
"I read mixed reviews, but after several months, and a lot of wear,  they are holding up quite nicely,  and barely breaking in. At first I did not like the button fly, but over time, even getting used to that",4,good fit and price,POSITIVE,POSITIVE,neutral,0.994860053062439
"Wrong colour, I wanted the dark blue which is what I thought the website was listing.",1,Wrong colour,NEGATIVE,NEGATIVE,entailment,0.721155047416687
Nice,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8311266899108887
They are pants and they fit - is there anything else I need to say?,5,Five Stars,NEGATIVE,POSITIVE,neutral,0.7918418645858765
excelente,5,Five Stars,POSITIVE,POSITIVE,neutral,0.784599781036377
"I've been wearing Levi's since I got out of diapers about 46 years ago. I have bought my last pair. The quality in the last few years has been terrible. These jeans now have a serious problem with belt loops just suddenly ripping off. My last five pairs (two just purchased in the last month) have done this. I even had a pair that I purchased directly from levis.com a few months ago that the loop ripped out of and when I went to repair it I found that it and one other loop had already been repaired once (I didn't notice the patches while I was wearing them, who looks inside there?). They must not have passed QC at the factory and were ""fixed"" before being sent out. Just last night I took off one of my new, less than a month old pairs and found a belt loop hanging off and the tell-tale hole. No more.

When I contacted Levi's Customer Serivce I was told that I could ship them back (at my expense) and if they decided that they could be repaired under warranty I would get them back in six to eight weeks.",2,Terrible quality from what used to be a great brand,NEGATIVE,NEGATIVE,neutral,0.5424435138702393
"Been wearing 501's for years, quite simply they are the best fitting, most comfortable jeans on the market.",5,Simply the best,POSITIVE,POSITIVE,entailment,0.5665242075920105
* * * * *,5,Five Stars,POSITIVE,POSITIVE,neutral,0.83809894323349
Excellent fit and color,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9642585515975952
"Why three, because it is not what I was exacted. It is made in China and not from the fabric that I wanted. I was looking for US made fabric jeans. But the size is perfect.",3,But the size is perfect.,POSITIVE,POSITIVE,contradiction,0.5908828973770142
"Great Jeans! typical 501s.  I would give 5 stars, but it's not like these are the red tab label, or by Dolce and Gabbana.

Fast delivery too!",4,Great Jeans! typical 501s,POSITIVE,POSITIVE,neutral,0.9967265129089355
"Everything ok with these jeans, except brand label on the back pocket, instead of sign ""levis"" on red strip i got something like letter ""r"". Not sure, either this a fake or just a defect. Be aware of it.",4,"instead of sign ""levis"" on red strip i got something like letter ""r""",POSITIVE,NEGATIVE,neutral,0.8496370911598206
"Terrible product, belt loop already ripped.
Levi's are just terrible now.
For all you first time buyers of Levi's, They use to be SO much better...",1,"Terrible product, belt loop already ripped",NEGATIVE,NEGATIVE,neutral,0.5023463368415833
"Excellent I would of prefer zipper instead of buttons,  but still love them",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9141014814376831
"These were exactly what I was hoping for. You can never find these colors available in the stores, the color variety was really nice as well as the price. I'll never buy from the store again.",5,Exactly what you could hope for!,POSITIVE,POSITIVE,entailment,0.869247317314148
Didnt fit around my thighs,4,Four Stars,NEGATIVE,POSITIVE,neutral,0.5424614548683167
Excellent!!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8251043558120728
I didn't know these jeans had buttons instead of a zipper so I returned the product.,3,Three Stars,NEGATIVE,POSITIVE,contradiction,0.771820068359375
Like Levi's,5,Great,POSITIVE,POSITIVE,neutral,0.7665900588035583
"The only real Levi to buy, the rest are  not ad durable.",5,Five Stars,NEGATIVE,POSITIVE,neutral,0.923963189125061
Awesome great fit highly recommend ,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8378313779830933
son was very happy,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8852313160896301
